model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
BMW 540i,3.0,6,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,20,29,23,5,No
BMW 540i,3.0,6,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,20,29,23,5,No
BMW 640i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,20,29,23,5,No
BMW 640i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,20,29,23,5,No
BMW 640i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,19,28,22,4,No
BMW 640i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,19,28,22,4,No
BMW 640i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,20,29,23,5,No
BMW 640i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,20,29,23,5,No
BMW 640i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,19,28,22,4,No
BMW 640i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,19,28,22,4,No
BMW 640i Gran Turismo,3.0,6,SemiAuto-8,4WD,Gasoline,CA,large car,5.0,20,28,23,5,No
BMW 640i Gran Turismo,3.0,6,SemiAuto-8,4WD,Gasoline,FA,large car,5.0,20,28,23,5,No
BMW 650i Convertible,4.4,8,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,17,25,20,4,No
BMW 650i Convertible,4.4,8,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,17,25,20,4,No
BMW 650i Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,16,25,19,3,No
BMW 650i Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,16,25,19,3,No
BMW 650i Gran Coupe,4.4,8,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,17,25,20,4,No
BMW 650i Gran Coupe,4.4,8,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,17,25,20,4,No
BMW 650i Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,16,25,19,3,No
BMW 650i Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,16,25,19,3,No
BMW 740i,3.0,6,SemiAuto-8,2WD,Gasoline,CA,large car,3.0,21,29,24,5,No
BMW 740i,3.0,6,SemiAuto-8,2WD,Gasoline,FA,large car,3.0,21,29,24,5,No
BMW 740i,3.0,6,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,20,29,23,5,No
BMW 740i,3.0,6,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,20,29,23,5,No
BMW 750i,4.4,8,SemiAuto-8,2WD,Gasoline,CA,large car,3.0,17,25,20,4,No
